## REPORT METADATA
Start Date,2026-05-29
End Date,2026-06-04
Week Ending,"June 4th, 2026"
Date Range Label,"May 29 – June 4, 2026"

## KPI SUMMARY
Metric,Total,External,Ext %,In-House,IH %
Total Booked,162,89,54.9%,72,44.4%
Show Rate,68.5%,69.7%,,66.7%,
Showed,111,62,55.9%,48,43.2%
Qualified,82,42,51.2%,39,47.6%
Closed Won,26,8,30.8%,17,65.4%
Close Rate (b→c),16.0%,9.0%,,23.6%,
Revenue,"$192,728","$58,879",30.6%,"$127,852",66.3%
Avg Deal,"$7,413","$7,360",,"$7,521",

## FUNNEL BREAKDOWN
Group,Funnel,Excluded From Totals,Booked,On Pace,Goal %,Showed,Show %,Qualified,Qual %,Closed,CW %,Revenue,Rev/Close
EXTERNAL,Low Ticket Funnel,,33,33,16% (200),18,54.5%,11,33.3%,,0.0%,$0,
EXTERNAL,Instagram,,51,51,17% (300),40,78.4%,28,54.9%,7,13.7%,"$49,882","$7,126"
EXTERNAL,X,,3,3,30% (10),2,66.7%,1,33.3%,1,33.3%,"$8,997","$8,997"
EXTERNAL,Linkedin,,2,2,20% (10),2,100.0%,2,100.0%,,0.0%,$0,
IN-HOUSE,YouTube,,18,18,14% (132),16,88.9%,13,72.2%,10,55.6%,"$73,973","$7,397"
IN-HOUSE,Meta Ads,,3,3,7% (44),1,33.3%,2,66.7%,,0.0%,$0,
IN-HOUSE,Website,,29,29,29% (100),17,58.6%,13,44.8%,5,17.2%,"$30,885","$6,177"
IN-HOUSE,Internal Webinar,,20,20,29% (70),13,65.0%,10,50.0%,2,10.0%,"$22,994","$11,497"
IN-HOUSE,Reactivation Scrapers,,2,2,,1,50.0%,1,50.0%,,0.0%,$0,
UNCATEGORIZED,Sales Reactivation,,1,1,,1,100.0%,1,100.0%,,0.0%,$0,
UNCATEGORIZED,Website - OG - Cam,,0,,,0,0.0%,0,0.0%,1,0.0%,"$5,997","$5,997"
TOTAL,TOTAL,,162,,,111,68.5%,82,50.6%,26,16.0%,"$192,728","$7,413"
